condition_id,dataset_id,encoder_id,projection_dim,tau,balanced_accuracy,accuracy,macro_f1
cifar100__vit_b_16_imagenet1k_v1__d64,cifar100,vit_b_16_imagenet1k_v1,64,1.0,0.6844000000000001,0.6844,0.6859485934919983
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.0,0.40820366421206405,0.7281795511221946,0.41814080581102736
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.1,0.47684691658485523,0.7226932668329177,0.45021624048442976
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.2,0.5154808520996601,0.7077306733167082,0.45487294699190356
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.3,0.516266756949518,0.6822942643391521,0.4305325122363432
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.4,0.509179068304407,0.6448877805486284,0.404275636961914
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.5,0.49990166629949784,0.5880299251870325,0.38490692037777974
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.6,0.49049400678178084,0.5376558603491272,0.3757469202756929
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.7,0.4769503923767937,0.5102244389027432,0.37251678461482907
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.8,0.47943549149742104,0.5002493765586035,0.3733143280610314
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,0.9,0.4722345904239618,0.5092269326683292,0.3724435143650119
dermamnist__resnet18_imagenet1k_v1__d128,dermamnist,resnet18_imagenet1k_v1,128,1.0,0.4640916913915367,0.5526184538653367,0.3770445630080227
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.0,0.3453209160628594,0.7187032418952618,0.36062290663203384
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.1,0.38416936299489307,0.7112219451371571,0.38027266537576515
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.2,0.41727348048495166,0.7027431421446384,0.4040322668129916
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.3,0.43387154233469516,0.6922693266832918,0.40830992008130157
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.4,0.45015054057949994,0.683291770573566,0.413167829847449
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.5,0.4516069816575949,0.6688279301745635,0.39046042490698174
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.6,0.4564154000460593,0.6309226932668329,0.36731681130878174
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.7,0.4494772189431214,0.5880299251870325,0.35273981955938616
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.8,0.4260313218271802,0.5461346633416458,0.3394521090909538
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,0.9,0.41940546972833725,0.5236907730673317,0.33195463908802875
dermamnist__resnet18_imagenet1k_v1__d64,dermamnist,resnet18_imagenet1k_v1,64,1.0,0.4098611194694827,0.5316708229426433,0.3303730036349733
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.0,0.4913434509039732,0.7406483790523691,0.4967271492960611
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.1,0.5531732715576468,0.7336658354114713,0.5061730288993878
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.2,0.5585185806854011,0.7236907730673316,0.4939473753033599
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.3,0.5586384046155768,0.7112219451371571,0.4780357483885336
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.4,0.5543352775835327,0.7067331670822943,0.47195194004683716
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.5,0.5607384952201379,0.7027431421446384,0.47438621645221407
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.6,0.5536168758685401,0.6972568578553616,0.4704792428587642
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.7,0.5484874235121732,0.6922693266832918,0.4701700951265315
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.8,0.5393904523141156,0.6957605985037406,0.47407785943697406
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,0.9,0.5184998691322144,0.6987531172069825,0.47375986507532086
dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist,vit_b_16_imagenet1k_v1,128,1.0,0.49109000461023256,0.7042394014962593,0.4698024029053661
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.0,0.4415506320531052,0.7316708229426434,0.457651907879182
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.1,0.4844392679086777,0.7221945137157108,0.46893172301328934
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.2,0.5108347497398171,0.7172069825436409,0.48023950542722427
dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist,vit_b_16_imagenet1k_v1,64,0.3,0.5197314472729933,0.714713216957606,0.47838854317737295
