condition_id,method_id,balanced_accuracy,accuracy,macro_f1,deployable,notes
eurosat__resnet18_imagenet1k_v1__d128,diagonal_class_gaussian,0.8112,0.8157407407407408,0.8095714424319695,True,
eurosat__resnet18_imagenet1k_v1__d128,fixed_tau0_5,0.8871833333333333,0.8918518518518519,0.8895424174593707,True,
eurosat__resnet18_imagenet1k_v1__d128,ncm,0.8118833333333335,0.8177777777777778,0.8111328189120378,True,
eurosat__resnet18_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.9049999999999999,0.9087037037037037,0.9060877579370343,False,test-label upper bound; tau=0.2
eurosat__resnet18_imagenet1k_v1__d128,shared_covariance_tau0,0.8901000000000001,0.894074074074074,0.8906034982161455,True,
eurosat__resnet18_imagenet1k_v1__d64,class_specific_tau1,0.8675499999999999,0.8712962962962963,0.8668410555612207,True,
eurosat__resnet18_imagenet1k_v1__d64,diagonal_class_gaussian,0.7849166666666667,0.7894444444444444,0.7828188093485213,True,
eurosat__resnet18_imagenet1k_v1__d64,fixed_tau0_5,0.8748666666666667,0.8798148148148148,0.875668783408566,True,
eurosat__resnet18_imagenet1k_v1__d64,ncm,0.7862333333333333,0.7909259259259259,0.7841309547766786,True,
eurosat__resnet18_imagenet1k_v1__d64,oracle_best_tau_test_upper_bound,0.8832000000000001,0.8875925925925926,0.883587847906749,False,test-label upper bound; tau=0.2
eurosat__resnet18_imagenet1k_v1__d64,shared_covariance_tau0,0.8663833333333333,0.8709259259259259,0.8664239691404576,True,
eurosat__vit_b_16_imagenet1k_v1__d128,class_specific_tau1,0.8969833333333334,0.8992592592592593,0.8970149862961074,True,
eurosat__vit_b_16_imagenet1k_v1__d128,diagonal_class_gaussian,0.8224,0.8255555555555556,0.8218982701032781,True,
eurosat__vit_b_16_imagenet1k_v1__d128,fixed_tau0_5,0.9045333333333332,0.9083333333333333,0.9056873798797603,True,
eurosat__vit_b_16_imagenet1k_v1__d128,ncm,0.8051833333333333,0.81,0.8047531831666983,True,
eurosat__vit_b_16_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.9163166666666667,0.9201851851851852,0.9170385058706116,False,test-label upper bound; tau=0.2
eurosat__vit_b_16_imagenet1k_v1__d128,shared_covariance_tau0,0.8977333333333334,0.9012962962962963,0.8981111858950456,True,
eurosat__vit_b_16_imagenet1k_v1__d64,class_specific_tau1,0.8780833333333333,0.8809259259259259,0.8776638875777024,True,
eurosat__vit_b_16_imagenet1k_v1__d64,diagonal_class_gaussian,0.7810999999999999,0.7857407407407407,0.7796012258664866,True,
eurosat__vit_b_16_imagenet1k_v1__d64,fixed_tau0_5,0.8802833333333334,0.8840740740740741,0.8807537063886521,True,
eurosat__vit_b_16_imagenet1k_v1__d64,ncm,0.77295,0.7787037037037037,0.7714146366762978,True,
eurosat__vit_b_16_imagenet1k_v1__d64,oracle_best_tau_test_upper_bound,0.8816333333333333,0.8851851851851852,0.8819720865516205,False,test-label upper bound; tau=0.4
eurosat__vit_b_16_imagenet1k_v1__d64,shared_covariance_tau0,0.8491666666666667,0.8538888888888889,0.8487872141333928,True,
pathmnist__resnet18_imagenet1k_v1__d128,class_specific_tau1,0.6924359088673396,0.7285515320334262,0.666376096674465,True,
pathmnist__resnet18_imagenet1k_v1__d128,diagonal_class_gaussian,0.6345223548369342,0.7100278551532033,0.628040947766922,True,
pathmnist__resnet18_imagenet1k_v1__d128,fixed_tau0_5,0.7118146984958437,0.7547353760445682,0.6870014105771225,True,
pathmnist__resnet18_imagenet1k_v1__d128,ncm,0.6466984659017485,0.7206128133704736,0.6382658968666899,True,
pathmnist__resnet18_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.7424205075144195,0.8016713091922005,0.7358237568719398,False,test-label upper bound; tau=0.1
pathmnist__resnet18_imagenet1k_v1__d128,shared_covariance_tau0,0.7314196414122848,0.7991643454038997,0.731465046444534,True,
pathmnist__resnet18_imagenet1k_v1__d64,class_specific_tau1,0.6873342522561837,0.7341225626740947,0.6715177599869246,True,
pathmnist__resnet18_imagenet1k_v1__d64,diagonal_class_gaussian,0.6190855704896729,0.702924791086351,0.6150227116374272,True,
pathmnist__resnet18_imagenet1k_v1__d64,fixed_tau0_5,0.7107262708160361,0.7633704735376045,0.6976526660872955,True,
pathmnist__resnet18_imagenet1k_v1__d64,ncm,0.6429814756723028,0.7245125348189415,0.6378376509335584,True,
pathmnist__resnet18_imagenet1k_v1__d64,oracle_best_tau_test_upper_bound,0.7349616657897087,0.7974930362116992,0.7320640582272915,False,test-label upper bound; tau=0.1
pathmnist__resnet18_imagenet1k_v1__d64,shared_covariance_tau0,0.7325496799443194,0.7934540389972145,0.7301740167399418,True,
pathmnist__vit_b_16_imagenet1k_v1__d128,class_specific_tau1,0.7555610859280327,0.7778551532033426,0.7369872316635828,True,
pathmnist__vit_b_16_imagenet1k_v1__d128,diagonal_class_gaussian,0.7059200840835779,0.7516713091922006,0.6925487964283003,True,
pathmnist__vit_b_16_imagenet1k_v1__d128,fixed_tau0_5,0.7725713744968559,0.7980501392757661,0.7547071982988851,True,
pathmnist__vit_b_16_imagenet1k_v1__d128,ncm,0.726113494590108,0.7672701949860724,0.7106019883232961,True,
pathmnist__vit_b_16_imagenet1k_v1__d128,oracle_best_tau_test_upper_bound,0.8295128097848417,0.862116991643454,0.8212382229730255,False,test-label upper bound; tau=0.1
pathmnist__vit_b_16_imagenet1k_v1__d128,shared_covariance_tau0,0.8228345892081541,0.8590529247910863,0.8194423668049672,True,
pathmnist__vit_b_16_imagenet1k_v1__d64,class_specific_tau1,0.7561217867207247,0.7779944289693593,0.733744173716075,True,
pathmnist__vit_b_16_imagenet1k_v1__d64,diagonal_class_gaussian,0.6879698097172577,0.7348189415041783,0.667938535554477,True,
pathmnist__vit_b_16_imagenet1k_v1__d64,fixed_tau0_5,0.7613587794160348,0.787883008356546,0.7408004051435124,True,
pathmnist__vit_b_16_imagenet1k_v1__d64,ncm,0.6881278304640941,0.7342618384401114,0.6683002043625872,True,
pathmnist__vit_b_16_imagenet1k_v1__d64,oracle_best_tau_test_upper_bound,0.784268794230227,0.8186629526462396,0.7707772226838457,False,test-label upper bound; tau=0.2
pathmnist__vit_b_16_imagenet1k_v1__d64,shared_covariance_tau0,0.7663267200262558,0.8089136490250697,0.7580588528857999,True,
