pair_id,condition_id,bank_id,dataset_id,modality,encoder_id,projection_dim,intervention,n_reflected_classes,n_classes,counts_equal,t2_comm_norm_diff,t2_model_norm_diff,max_head_parameter_norm_diff,phase1_object_recovery_norm_error,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,diag_m3_distance,sketch_m3_distance,sketch_m4_distance,diag_m3_aggregation_norm_error,sketch_m3_aggregation_norm_error,diag_m3_upload_ratio_vs_t2,sketch_m3_upload_ratio_vs_t2,present_client_class_pairs
dermamnist__resnet18_imagenet1k_v1__d128__all_reflect,dermamnist__resnet18_imagenet1k_v1__d128,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,128,all_reflect,7,7,True,1.2119186151678257e-14,2.90878432451791e-14,2.90878432451791e-14,3.6443070783320763e-14,[0.3],[0.3],False,0.0,0.0,0.2547934472145902,0.516266756949518,0.7692752432187542,1.2170078353565088,1.3206945048905903,5.603023943034205e-13,2.1814951126354077e-15,2.909195502041943e-15,1.015263534462199,1.0019079418077748,57
dermamnist__resnet18_imagenet1k_v1__d128__hash_half_reflect,dermamnist__resnet18_imagenet1k_v1__d128,dermamnist__resnet18_imagenet1k_v1,dermamnist,medical,resnet18_imagenet1k_v1,128,hash_half_reflect,3,7,True,1.2119186151678257e-14,2.90878432451791e-14,2.90878432451791e-14,3.6443070783320763e-14,[0.3],[0.3],False,0.0,0.0,0.07626244291390577,0.516266756949518,0.5804296887087226,0.7961406418465032,0.7916574214760884,3.5605646149157447e-13,2.1814951126354077e-15,2.909195502041943e-15,1.015263534462199,1.0019079418077748,57
dermamnist__vit_b_16_imagenet1k_v1__d64__all_reflect,dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,64,all_reflect,7,7,True,5.726051472486092e-15,1.0075273948473296e-14,1.0103029524088925e-14,1.0075273948473296e-14,[0.3],[0.5],True,0.012718509801067146,0.0099548404125702,0.23343063971436384,0.5197314472729933,0.7377362149840041,0.6407162363927099,0.6510612257060342,1.3039426450912056e-13,9.371303179325757e-16,2.655748770229868e-15,1.0298229263746506,1.0074557315936625,72
dermamnist__vit_b_16_imagenet1k_v1__d64__hash_half_reflect,dermamnist__vit_b_16_imagenet1k_v1__d64,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,64,hash_half_reflect,1,7,True,5.726051472486092e-15,9.8879238130678e-15,9.8879238130678e-15,1.0075273948473296e-14,[0.3],[0.3],False,0.0,0.0,0.02183871311388086,0.5197314472729933,0.5382677208428238,0.23121168942262377,0.26890624565429017,1.0417577408090838e-13,9.371303179325757e-16,2.655748770229868e-15,1.0298229263746506,1.0074557315936625,72
dermamnist__vit_b_16_imagenet1k_v1__d128__all_reflect,dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,128,all_reflect,7,7,True,7.527880992054552e-15,2.015054789694659e-14,2.015054789694659e-14,1.201816424156732e-14,[0.5],[0.2],True,0.0022199145347368,0.002115803645145311,0.30090883262152,0.5607384952201379,0.8594274133069211,0.6350174582822041,0.6458993809542192,9.140816544422795e-14,3.0246494689759316e-15,1.8255644662585724e-15,1.015263534462199,1.0019079418077748,72
dermamnist__vit_b_16_imagenet1k_v1__d128__hash_half_reflect,dermamnist__vit_b_16_imagenet1k_v1__d128,dermamnist__vit_b_16_imagenet1k_v1,dermamnist,medical,vit_b_16_imagenet1k_v1,128,hash_half_reflect,2,7,True,1.5872038236259596e-16,4.246603069191224e-15,4.246603069191224e-15,1.201816424156732e-14,[0.5],[0.2],True,0.0022199145347368,0.0020752594345313916,0.12403538490495014,0.5607384952201379,0.6825539655903512,0.3909463617629991,0.4056890509507809,1.8249629428381027e-14,3.0246494689759316e-15,1.8255644662585724e-15,1.015263534462199,1.0019079418077748,72
eurosat__resnet18_imagenet1k_v1__d64__all_reflect,eurosat__resnet18_imagenet1k_v1__d64,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,64,all_reflect,10,10,True,5.894034210345944e-15,1.637578961322106e-14,1.637578961322106e-14,1.637578961322106e-14,[0.2],[0.6],True,0.0050000000000001155,0.003238002594033819,0.1256166666666667,0.8832000000000001,0.9918333333333333,1.1754921965374632,1.1891635003889265,1.2115395739912557e-12,1.975867017939992e-15,1.2236415344735517e-15,1.0298229263746506,1.0074557315936625,105
eurosat__resnet18_imagenet1k_v1__d64__hash_half_reflect,eurosat__resnet18_imagenet1k_v1__d64,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,64,hash_half_reflect,5,10,True,5.894034210345944e-15,1.637578961322106e-14,1.637578961322106e-14,1.637578961322106e-14,[0.2],[0.3],True,0.0002500000000001945,0.00019932432432443896,0.05153333333333343,0.8832000000000001,0.9254499999999999,0.5880071141679796,0.5561767092396616,1.1847133115185815e-12,1.975867017939992e-15,1.2236415344735517e-15,1.0298229263746506,1.0074557315936625,105
eurosat__resnet18_imagenet1k_v1__d128__all_reflect,eurosat__resnet18_imagenet1k_v1__d128,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,128,all_reflect,10,10,True,6.48903204935261e-15,1.865174681370263e-14,1.865174681370263e-14,1.765254609153999e-14,[0.2],[0.3],True,0.0004333333333332856,0.00040048590864913246,0.11936666666666673,0.9049999999999999,0.9987833333333332,1.1076484257566257,0.9982590693023521,2.134531920866969e-12,2.289867337613304e-15,2.427576715104217e-15,1.015263534462199,1.0019079418077748,105
eurosat__resnet18_imagenet1k_v1__d128__hash_half_reflect,eurosat__resnet18_imagenet1k_v1__d128,eurosat__resnet18_imagenet1k_v1,eurosat,nonmedical,resnet18_imagenet1k_v1,128,hash_half_reflect,2,10,True,5.426173351613822e-15,1.7763568394002505e-14,1.7763568394002505e-14,1.765254609153999e-14,[0.2],[0.2],False,0.0,0.0,0.028000000000000136,0.9049999999999999,0.9274333333333333,0.2664268676221049,0.24197905059677519,1.0638361870153739e-13,2.289867337613304e-15,2.427576715104217e-15,1.015263534462199,1.0019079418077748,105
