condition_id,pair_id,task,tau,balanced_accuracy
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.3,0.90377202863672
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.4,0.9055036438274457
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.5,0.906399471627259
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.6,0.906480010236882
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.7,0.9061427613479132
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.8,0.9054271772530849
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,0.9,0.90522240763959
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0000__0003,domain_b,1.0,0.904843570755961
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.0,0.887142487672606
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.1,0.8962639615752038
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.2,0.9011157297207084
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.3,0.90377202863672
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.4,0.9055036438274457
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.5,0.906399471627259
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.6,0.906480010236882
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.7,0.9061427613479132
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.8,0.9054271772530849
camelyon17__resnet18_imagenet1k_v1__d64,camelyon17__0003__0004,domain_a,0.9,0.90522240763959
