condition_id,dataset_id,bank_id,encoder_id,projection_dim,pair_id,domain_a,domain_b,selection_rank,eligible_pair_count,selected_pair_count,n_shared_classes,t2_distance,t2_empirical_percentile,m3_distance,optimal_tau_set_original,optimal_tau_set_counterfactual,optimal_sets_disjoint,deterministic_pair_minimax_regret,randomized_pair_minimax_regret,curve_linf_shift,best_bacc_original,best_bacc_counterfactual,gamma_bootstrap_ci95_low,gamma_bootstrap_ci95_high,robust_decision_critical,m3_upload_ratio_vs_t2,no_group_leakage
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0150__0157,150,157,7,1281,10,3,2.82952838241935,0.00546448087431694,0.6585442340807427,[0.8],[0.9],True,0.0037453183520600453,0.003129890453834204,0.21190296778802953,0.8238095238095239,0.9559771596979186,0.0,0.01609412414809346,False,1.0019081693500298,True
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0157__0210,157,210,8,1281,10,3,2.838324235230058,0.00624512099921936,0.6507351491979031,[0.9],[0.9],False,0.0,0.0,0.07131779453698983,0.9559771596979186,0.8846593651609288,0.0,0.007586430462318338,False,1.0019081693500298,True
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0147__0208,147,208,9,1281,10,4,2.8495033638939278,0.00702576112412178,0.599496546623306,[0.6],[0.5],True,0.005434120335110482,0.0033833507854855835,0.11811526030199493,0.9033083907938304,0.8414426269333549,0.0,0.015786222737181693,False,1.0019081693500298,True
iwildcam__resnet18_imagenet1k_v1__d128,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,128,iwildcam__0047__0157,47,157,10,1281,10,3,2.881902263765627,0.0078064012490242,0.6640208983772512,"[0.5, 0.6]",[0.9],True,0.011235955056179914,0.007665145121006053,0.07148976547006525,0.9549004787100026,0.9559771596979186,0.0,0.018726591760299675,False,1.0019081693500298,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0081__0268,81,268,1,1281,10,3,1.9148251482061387,0.00078064012490242,0.528654421354046,"[0.3, 0.4, 0.5, 0.6, 0.9]",[0.9],False,0.0,0.0,0.09201374146871522,0.9531986531986533,0.867172935682034,0.0,0.014680105807801972,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0041__0210,41,210,2,1281,10,3,1.9283052258585165,0.00156128024980484,0.6484678163363402,[0.4],[1.0],True,0.0040848526201542334,0.0034178898945383816,0.048794069768042236,0.9141909814323608,0.8737277567706948,0.00021285526645904723,0.00849273694056767,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0115__0299,115,299,3,1281,10,3,1.9433513954584143,0.00234192037470726,0.7632302575125532,"[0.1, 0.2]",[1.0],True,0.031024531024530955,0.018273799566890077,0.21365534490073923,0.6674445263244083,0.8464646464646465,0.0,0.07707196052535022,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0150__0157,150,157,4,1281,10,3,1.959217268466735,0.00312256049960968,0.8300579101610136,"[0.1, 0.2, 0.3]",[0.1],False,0.0,0.0,0.17422276869688935,0.7761904761904762,0.9150856511328053,0.0,0.022471910112359387,False,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0179__0306,179,306,5,1281,10,4,1.9742669674549542,0.0039032006245121,0.6232148260593001,[0.4],[1.0],True,0.04008655745323564,0.032706678976128646,0.245168099348539,0.7194308993124097,0.8378157959283787,0.02249911967744776,0.059498446032299326,True,1.0074592074592075,True
iwildcam__resnet18_imagenet1k_v1__d64,iwildcam,iwildcam__resnet18_imagenet1k_v1,resnet18_imagenet1k_v1,64,iwildcam__0041__0157,41,157,6,1281,10,3,1.9997943794912947,0.00468384074941452,0.7234101790639252,[0.4],[0.1],True,0.004166666666666763,0.003712365890782272,0.11386462467184777,0.9141909814323608,0.9150856511328053,0.0,0.02656905650851791,False,1.0074592074592075,True
