condition_id,dataset_id,encoder_id,projection_dim,objective_id,direction,tau,score,selected
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.2,7.718500569778973,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.3,8.507984898689994,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.4,9.2880248557379,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.5,10.106254686260094,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.6,11.006073353380629,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.7,12.03724799714885,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.8,13.266815185927596,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,0.9,14.796990940398448,False
pathmnist__resnet18_imagenet1k_v1__d64,pathmnist,resnet18_imagenet1k_v1,64,hard_competitor_expected_margin,maximize,1.0,16.79916538698019,True
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.0,9.809276592942979,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.1,12.988389577007801,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.2,15.340338357333383,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.3,17.442873683324002,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.4,19.48854922776254,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.5,21.655325485406145,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.6,24.09950884867812,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.7,27.031532252090543,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.8,30.77071739022289,False
pathmnist__vit_b_16_imagenet1k_v1__d128,pathmnist,vit_b_16_imagenet1k_v1,128,hard_competitor_expected_margin,maximize,0.9,35.9709836415568,False
