replicate_id,T_HET
0,0.00011472029892517776
1,0.00012020104990866425
2,7.155173227923327e-05
3,0.00013412245213263648
4,0.0002529318763337756
5,0.00016813318270537408
6,5.030370655534905e-05
7,4.5981472680155744e-05
8,9.070606154088617e-05
9,6.081278813570713e-05
10,0.00011615441604420745
11,0.0003128360774120179
12,6.927723878838092e-05
13,0.0002277306994328165
14,0.0001566763846980821
15,0.00012580597193515767
16,0.00017470016043229366
17,5.7826995647445666e-05
18,0.00015058624297077718
19,7.607402721440101e-05
20,0.00022889463813204132
21,0.00013606502318632614
22,8.176173750306417e-05
23,8.932287519885139e-05
24,0.00019891005766180145
25,0.0001262413886743687
26,5.386258522220805e-05
27,9.401890321680893e-05
28,0.00021410251693008595
29,0.00010410452232985735
30,0.0002210438823388543
31,5.1915267224450325e-05
32,0.00015120680760221422
33,7.011895724843306e-05
34,0.00014655598356922992
35,0.00016403429425738985
36,4.0780289380571534e-05
37,8.478771586618037e-05
38,0.0001266337809351621
39,8.60901707996332e-05
40,0.00014541619335143056
41,0.00010999459351707399
42,0.00010782210522897894
43,7.584977376968481e-05
44,9.654542659819841e-05
45,3.68137844566237e-05
46,0.000142483330235562
47,0.00011222976165755067
48,0.00017834235199519954
49,9.800461442863469e-05
50,0.00016228368276829106
51,0.00014721190594677345
52,0.00012215056334719709
53,0.00014210349911032607
54,0.00021445117712101292
55,7.384382898977359e-05
56,3.4620670235534855e-05
57,0.00012152116011183413
58,0.0002552631484963544
59,0.00010791056242773076
60,8.153829336728442e-05
61,0.00010922760193230815
62,0.00011186076629277396
63,5.6100070334655446e-05
64,0.00016648006602231068
65,0.0001231189403766817
66,0.00010175798201707432
67,7.693422241368817e-05
68,6.563917534254342e-05
69,0.0001028473844189963
70,0.00015186284279899615
71,0.0002557168936653875
72,0.00010888606632761717
73,0.00013112174844705254
74,3.07114985979406e-05
75,0.00012270483631274509
76,9.123705683905336e-05
77,8.390221492323345e-05
78,6.619941116706324e-05
79,0.0003149515109446508
80,0.00026234676435689304
81,6.388110055877407e-05
82,8.231839750176351e-05
83,0.00010115882416855538
84,5.6864810998532093e-05
85,0.00013237568610408607
86,8.461928320077224e-05
87,0.0001137388486895798
88,6.569500748104317e-05
89,7.048185044460407e-05
90,0.0002920676863635957
91,9.884029362675661e-05
92,7.687401450711534e-05
93,0.00010734735079154669
94,7.337748646266689e-05
95,0.00023859308074779284
96,5.300854887281904e-05
97,0.00014796779151083093
98,3.586121586044115e-05
99,7.082437250415479e-05
100,0.00010315882156053583
101,6.757401338626337e-05
102,0.00011314349383252678
103,3.1655101440926725e-05
104,7.704603666285279e-05
105,1.3272416927506006e-05
106,0.0001517552042801896
107,9.976952366335706e-05
108,0.0001993078654861497
109,0.0002292757671775315
110,7.99979943673585e-05
111,8.21359510112649e-05
112,0.00015582025120735183
113,0.00019497342843529238
114,0.00014360780445698851
115,4.525815552262209e-05
116,0.00011898729748418384
117,0.000161867647294359
118,0.00010873380695729363
119,0.00014481901489175807
120,0.00012919747214092976
121,0.00014045129918756303
122,0.0001240494897600445
123,0.00017521231915562215
124,0.0001499049290528392
125,0.0001594642624217098
126,0.00015429775232938373
127,8.075786711072768e-05
128,8.833926706140424e-05
129,0.00023544881551915484
130,8.725479681084647e-05
131,0.0001270764263348358
132,0.00015101565683024487
133,9.572416045823666e-05
134,0.0001342348645019425
135,5.4813722154907466e-05
136,8.071199043752452e-05
137,0.00011955629062005888
138,7.904058745408164e-05
139,0.00010356110839566317
140,0.00014928324687987876
141,9.486014790455427e-05
142,0.00011373110130589145
143,5.7644779112641196e-05
144,0.0001528835543980027
145,5.587081312285603e-05
146,6.853542066605655e-05
147,6.763579172864414e-05
148,0.00015114933413058285
149,0.00012351357108261995
150,0.000258824061617749
151,0.0002974261321891505
152,0.00019907752247344754
153,4.087634149335562e-05
154,0.00018567064609609424
155,0.00010053591190185149
156,3.663633107506794e-05
